,song_id,song_id1,song_id2,song_id3,song_id4,song_id5,song_id6,song_id7,song_id8,song_id9,r,g,b
10,SOXQBTU12A8C13F5E0,SOXQBTU12A8C13F5E0,SOUPGOL12B0B809F10,SOIPDNB12A6D4FA902,SOJJMUC12AB018067A,SODDNWO12A6D4F8682,SOJTOJP12A8C13CAB8,SOTIWNU12A58A7A0E7,SODFOLL12A8C13E5B2,SOZCXHW12A8C13AF62,48.0,125.0,103.0
11,SOWZDNH12A6D4F7237,SOWZDNH12A6D4F7237,SOHTCVN12A8C134E46,SOCBIFT12A8C13E7C3,SOCYOAC12A8C1417C4,SOHIHSR12AB0184E8F,SOLXTPE12A8C13BCE2,SOUDHFT12AB0182FDE,SOVDSJC12A58A7A271,SOENOXM12A6D4FC46E,14.0,101.0,103.0
12,SOQBGZD12AB0184341,SOQBGZD12AB0184341,SOFGWPQ12A8C131BB8,SOYPJUM12A8C140659,SOGXIQE12A8C1328D3,SOAQNRN12AF72A7E50,SOLDFMB12AB017B5A2,SOZVXWV12AAFF44229,SOYXLUH12AC468B7F9,SOIMGAM12AB0182790,48.0,84.0,117.0
13,SOCAXWE12A8C13CEC0,SOCAXWE12A8C13CEC0,SOGELDP12A6D4F8878,SOMGDUI12A8C139AF8,SOQFBIB12AB018B34F,SOQTWKN12A8C140B33,SOHOLZZ12A81C20BC5,SOVFFSK12A6BD55C96,SODBWTV12AF72A4BF1,SOXKWED12AF72A9043,71.0,84.0,84.0
14,SOWKNBL12A8C13D663,SOWKNBL12A8C13D663,SODQBES12AAFF4444C,SOQPVXI12A6D4F7DC6,SOBKTKO12AB01857FD,SOPDQWH12A8C13DCA1,SOYPOYK12AB018BE08,SOLPYBA12A67020E3D,SOILFUU12AB017C75F,SOVMVIE12AB01809D2,66.0,76.0,135.0
15,SOTPWHK12A8AE46DC8,SOKGULH12A6D4F70BB,SOTPWHK12A8AE46DC8,SOIIFEE12A679D3120,SOLSMEB12AAF3B4B93,SORDSNS12A6D4F6762,SOMCHRF12A6D4FA1B7,SOEGREB12A8C134274,SOMHJTH12AB0181972,SOZXBQB12AB017BBDB,22.0,102.0,112.0
16,SOWILYC12A6D4FC186,SOWILYC12A6D4FC186,SOQJCXL12AB018CF5B,SOJDZOH12A58A77672,SOMWNFO12A81C22359,SORWKGX12AB01835BF,SOLQLXI12A8C135F71,SOHRYJW12AB01867F5,SODEAWL12AB0187032,SOVLBOQ12AB0180460,26.0,100.0,111.0
17,SOBQZKH12A8AE48A02,SOBQZKH12A8AE48A02,SOEVYFJ12A6D4F7657,SOIMZGM12A8AE46A1B,SOUBXHB12A81C231CC,SOPLDFD12A8C1456E2,SOJTKYQ12A81C21265,SOXSYVD12AB018431C,SOWVYSX12A6701E9DA,SOACGAQ12A58A79805,29.0,95.0,118.0
18,SOVUCRS12A58A7D207,SOVUCRS12A58A7D207,SOSQHKY12A58A77815,SODXOFP12A67AE0AA1,SOSODGQ12A6701DEE7,SOVMCAR12AF72A1268,SOBRGWG12AB017FB42,SOFAKWP12AB017C6CB,SONSOXK12A6D4F7A46,SOUUGUK12AB0185137,29.0,112.0,87.0
19,SOJLPCD12AB01836A2,SOJLPCD12AB01836A2,SOLPGLP12A8C13D92D,SOHLUNY12AB018538E,SODORVA12A8C13B259,SOJSLRY12AB01876F2,SOHNMNR12AC4686143,SOJWCQN12A8C14357C,SOQQJUH12A8C13CAE2,SOITDXJ12A8C13FFD1,13.0,102.0,111.0
20,SOJWEBW12A8C13AEEC,SOEGIBC12A6D4FC184,SOJWEBW12A8C13AEEC,SOIMASC12AB018569F,SONVLFT12A8C144305,SOUCARZ12A8151B828,SOFRUYQ12AF7299F71,SOAQEHA12AF72A37D4,SOBBNDM12A58A78370,SOYWLQG12A6D4F9FC4,32.0,102.0,108.0
21,SOOLSML12A8C1414DC,SOLCJMY12A8C13205D,SOOLSML12A8C1414DC,SOMUZNU12AB0189B5D,SOIFODN12A58A7AAA8,SOQTTKJ12A6D4F9060,SOHYBOV12A8C1406FD,SOOOZNM12A58A7B7E9,SOBRORE12AF72A4358,SODNYHQ12A8C140400,30.0,113.0,99.0
22,SOSCMSY12A8C13C1E9,SOSCMSY12A8C13C1E9,SORBSSE12A8C13C02E,SOBQFKK12AB0183591,SORAOUS12A8C13950A,SOFRLXK12AF729E20A,SOBDJYZ12A8C132ADA,SOGBSZS12AC3DF447D,SOJJQMM12AB0182E5B,SONERJR12A6D4F6228,37.0,104.0,111.0
23,SODTWKY12AF729FE39,SODTWKY12AF729FE39,SOGKWSJ12A6D4F634D,SOJCGDT12A58A7C488,SOFAKWP12AB017C6CB,SOLILFP12A8C145145,SOZEGIS12AB017C602,SOIBVPF12AF729BBFF,SOAJKLG12A81C21CCE,SOUUGUK12AB0185137,32.0,114.0,92.0
24,SOSOUDK12AAF3B353B,SOSOUDK12AAF3B353B,SODXFAS12A58A7B24B,SOSCYOU12A8C1350B3,SOMGIYR12AB0187973,SORINRD12AB0180CC4,SORICKH12AB0180A34,SOGWJEY12AC9618862,SOTCKDB12AB018DEEF,SOSYLXK12A8C13F738,40.0,98.0,110.0
25,SOPXGQV12A58A7C985,SOPXGQV12A58A7C985,SOJXKYW12A8C13F280,SOTRXGD12A8C141BB1,SOXILLO12A6310F1B6,SOKIXEP12A8AE48DAC,SOJHEDN12A8C13ABF1,SOFLHVC12A8C13CC66,SOEGXYE12AF729D9FF,SOTMBLW12A8C132873,24.0,106.0,110.0
26,SOQMFQX12AB0189E9A,SOGKPIR12A6D4F83F9,SOQMFQX12AB0189E9A,SOFQNSK12A8C141EF3,SORXBCO12AB01843A0,SORIEXB12A6D4F824D,SOVQGZF12A6D4F9C89,SOBFKSZ12AB018BC2D,SOBFVFT12AB017C901,SOLSNEI12AB0182D60,15.0,105.0,106.0
27,SOGXEUC12A58A756DA,SOGXEUC12A58A756DA,SONNPWL12A6D4FCEB4,SOHSSOW12AB01860A2,SOVFPCG12A8C1397C4,SOJMVBD12A6D4F9274,SOCWBOX12AB0189835,SODCNEE12A6310E037,SOMTXSB12AF72ACC38,SORWGRQ12A8C13FFA1,31.0,104.0,106.0
28,SOTUYMM12AAF3B336B,SOTUYMM12AAF3B336B,SOCBAIB12A8C142EA7,SOMYZPF12A8C13E795,SOTWABT12AB0180AD3,SOOQPIK12A6701F1C5,SOJPUPT12A58A77A1D,SOSVBUQ12A582917A7,SOPTQFY12A58A7B624,SOWLCGF12AB018AC5E,33.0,116.0,116.0
29,SOJLIQT12A6702136D,SOJLIQT12A6702136D,SOPZUXQ12A6D4F65B3,SOTNVRG12A8AE46240,SOBNPFN12A8C142E6F,SOMBYKV12A8C1395E4,SOLVUOK12A58A7F3BC,SOCGVSE12A8AE47E9C,SOTDECQ12AB0185965,SOLLPCN12A8C13F626,44.0,107.0,107.0
30,SOGELNH12AB017F92C,SOWVVWB12AB0182200,SOGELNH12AB017F92C,SORMGZY12A81C20622,SOOQGXK12AB0182A40,SOCATVQ12A8AE46CF4,SOEUBGQ12A6D4F76E9,SODKCQF12A8C140133,SOPYJJA12AF729BBFD,SOJGSFA12AB0182240,12.0,102.0,110.0
31,SOZIMRD12AB01876CD,SOZIMRD12AB01876CD,SOQMVMK12A67021D21,SOTATDE12A8C13F33C,SOUJJEI12AB01872F9,SOBTCFO12A6D4FB0CA,SOIDOTX12AB018A3AE,SOMXIJL12A8AE44C14,SOPNLBX12A8C1377D4,SOEOJHS12AB017F3DC,25.0,104.0,116.0
32,SODQBJT12A8C1339E9,SOVRGXP12AB017D2B9,SODQBJT12A8C1339E9,SODZRWG12A6D4F7CFF,SOOCZPN12A6D4F9426,SOWUGAH12A6D4F982E,SOHUTDU12A6D4F6303,SOJXHOD12A6D4F9987,SOPJELC12AF729D962,SOHPYUR12AC468F3AB,28.0,111.0,111.0
33,SOTBVLS12A8C13A29D,SOBZEWE12A8C13871A,SOWONQS12A6D4FC79A,SOTBVLS12A8C13A29D,SOEKKYU12A67AD8520,SOGUJJO12A58A7E742,SOXXMHD12A58A799F3,SORQVOE12A6D4F5742,SODYNIX12A8C139275,SOVHCOR12AB0179D2A,23.0,110.0,113.0
34,SOEDGBE12A670211D3,SOEDGBE12A670211D3,SOWXEYG12AAF3B4B9C,SOFYDKP12AB01822F4,SOEMGOL12A6D4FDFAA,SOWKXYS12A8C1361C7,SOODIHV12AB018065C,SOGRTCN12A6D4F6500,SOIFDQD12AB01822F5,SODMNYR12AB01861C7,21.0,102.0,109.0
35,SOGHDIA12A6D4F7C96,SOGHDIA12A6D4F7C96,SOMPAXH12AC3DF64EF,SOUOSVR12A8C137061,SOOUXSI12AF729CBB6,SOVVMOP12A8C1348D2,SOFOECZ12A58A7D770,SORGJYF12A3F1EA5DF,SOBAFQC12A67020AD0,SOXIDCX12A8C13BDF3,20.0,106.0,107.0
36,SOVHIAK12A8C144F9C,SOVHIAK12A8C144F9C,SOOVMSR12AB0189A4E,SOBZAVW12A6D4FCE4A,SOXILCU12AB01844D7,SOVKZMC12AB017E5CD,SOMGJJL12AB018E862,SORZMRW12A8C1333BA,SOPRMXL12AB0184524,SOAOYYI12A6D4F9759,12.0,104.0,110.0
37,SOWUBIN12A8C139C94,SOWUBIN12A8C139C94,SOEAIZE12A8C13AD43,SOEFAAS12AB0180245,SORFIPH12AB018BD90,SOSWLVW12A8C138EAF,SOZZVWB12AB0189C30,SOCVTGX12A58A7AA8F,SODBORG12A8C133BC2,SOZIVLJ12A8C13286E,17.0,106.0,112.0
38,SOGELZG12A6D4F865F,SOGELZG12A6D4F865F,SOKZFUB12A6D4F6F9C,SOAKVVM12AC3DF9F8F,SOVSRZJ12A6D4F5902,SOLOGID12A8C13A296,SONGKYD12AB0183145,SOQPYSQ12AF72AB0FD,SOZZRHE12A6702165F,SOKFORX12AB0189587,14.0,99.0,111.0
39,SOAAPMX12AB0181F54,SOAAPMX12AB0181F54,SOSAZRH12A6701CC1A,SOXIDCX12A8C13BDF3,SOZUXXZ12A6D4F791F,SOLWRQM12AB0184C86,SOUOSVR12A8C137061,SOGHDIA12A6D4F7C96,SOMPAXH12AC3DF64EF,SOHGGUJ12A67ADE35E,20.0,104.0,105.0
40,SORDCVF12A6701F380,SORDCVF12A6701F380,SOYLFVT12AB017E804,SODRGCG12A6D4F953E,SOWJMGE12A6D4F58B7,SOWDNAY12A8C1354A4,SOHOMDR12A58A7C878,SOBVEVY12A8C131392,SOTMUMP12A8C1422D3,SOSUEGD12A58A7B568,37.0,113.0,115.0
41,SOAKDHD12A6310F1AE,SOUJKAH12A6701F2A5,SOAKDHD12A6310F1AE,SOIZAKY12AB017EFCB,SOXLWQG12AF72ABFC1,SOABWOG12AB017C97A,SOOMLRN12A6D4F7F2E,SOLYGDX12A6D4F83FD,SOLOVPW12A8C136297,SOUOTLX12A6D4FA186,21.0,107.0,105.0
42,SOMGPJQ12A6D4F7592,SOMGPJQ12A6D4F7592,SOYCCMK12AB017BA5C,SOVNNXJ12AC468BF9B,SOUVLOR12AB017EEF7,SOGHPKV12AB017F657,SOXVYWK12A6D4F8641,SOMFGHC12A67020641,SOBOMOX12AB017F9CF,SOUFDAK12A8C13BA93,21.0,106.0,120.0
43,SOLOJKD12A67AE0E1D,SOLOJKD12A67AE0E1D,SOPSKLB12A67AE0C65,SOAQIHM12A8C136FDF,SORLKKA12A58A78BC0,SOOBJRX12A8C132693,SONVIOU12AB0181500,SOHNWIM12A67ADF7D9,SOAAUDN12AAF3B599F,SOCINRA12AB01816C7,9.0,103.0,104.0
44,SOXHVCS12AB0184293,SOXHVCS12AB0184293,SOKZUAQ12AB0184518,SOGCXYO12A8C13C20F,SOPGUWC12A58A807CD,SOMXLBS12AB01823B9,SOUBEHQ12A6D4FBED4,SOUQJUS12A8C13E287,SOWEVBM12A8C13B5B5,SODVLZC12A58A7B909,40.0,105.0,110.0
45,SOKRFEJ12AAF3B15AD,SOJSFHY12A58A7A4F2,SOKRFEJ12AAF3B15AD,SOMOKRY12AF72A03FE,SODBVHH12AB0181A55,SOAPSLE12A8C131934,SOSXOBF12AB0180B4F,SOAZJEN12A6701F7EF,SONFXTG12A6D4FA2C4,SOIYUGN12A8C136E0C,23.0,108.0,102.0
46,SODDQOW12A58A7FE08,SODDQOW12A58A7FE08,SOGFQSW12A58A763F4,SOYBQNQ12AB017FC92,SOTTDDX12A6D4FBF0B,SOFJVKK12A6701D96E,SOEUDBC12A8C140BEA,SODSOXR12AB0187D2C,SOWIVSQ12A8C142243,SOZSUBG12AF72A4142,24.0,99.0,112.0
47,SOWBLAQ12A8C13C152,SOWBLAQ12A8C13C152,SODBNBZ12AB0189ECE,SOLIXJW12A58A79D02,SOAERCH12AC4689108,SORFZXJ12AB018449A,SOZWXIN12A58A7886A,SOSTKTJ12AB0183BE2,SOGIEOU12A8C134815,SOGGIGE12A8C13F1D0,19.0,100.0,111.0
48,SOIADYR12A6D4FB592,SOIADYR12A6D4FB592,SOJMTEQ12A5891FE43,SOAMZFX12A8C131F7C,SOOVXOV12A6D4F7450,SOOSPWZ12A8C13E84E,SOMQKFF12B0B80B2BD,SOSSMBC12A8C13BA04,SOSVLZB12A58A7BA46,SOJFPKY12A6D4FAED8,27.0,96.0,115.0
49,SOAMSPW12AB017F147,SOAMSPW12AB017F147,SOIBCPC12A8C13CFB3,SOAIJZD12A6D4F6445,SOMQZIM12A8A9D815B,SOMYAYY12A8C13E667,SOEJEVS12AB018B80E,SOWTYVO12AB0180BDA,SOHTNWR12A6D4F7C3B,SOPVGPL12A6D4F8515,15.0,103.0,111.0
50,SOBWLHV12A8C136F84,SOOWRBS12AF729FEFC,SOBWLHV12A8C136F84,SOFYLLZ12A6D4FC3AC,SOYBRAC12AB01884D9,SOILTTU12A67ADE5FE,SOWGTFY12AB017A88F,SOGKWLT12A8C130D64,SOFNNNP12A8C133462,SOFXVOB12A58A78D67,9.0,104.0,109.0
51,SOCGCBP12A6D4FAC3A,SOCGCBP12A6D4FAC3A,SOWEVXC12AB01803B0,SOGXIDO12A8C14172A,SOOFHDQ12AB018BA2A,SOMJIJL12AB017F81B,SOKDKZG12AB0180273,SODOUGV12A8AE4884E,SOEZMXE12A6701DF63,SOOMOCL12A8C1334B2,21.0,97.0,113.0
52,SOTLHDK12AB018A405,SOXMZXB12AB018A2DA,SOTLHDK12AB018A405,SOFHQMS12A6D4F8248,SOTHGXK12AB0180E18,SOFVLYU12AB017F502,SOENJGM12A8151E037,SOOAALH12A8C13C51A,SOLCHRP12AC468D757,SOCDRSP12A58A76F5E,14.0,103.0,111.0
53,SOTCJRR12A8C137AFF,SOFGASP12A6D4F7B87,SOTCJRR12A8C137AFF,SOTIDKU12AB017BD85,SOHYLXU12A8C139492,SOQMEWV12A58A7CB88,SOACIKZ12A6D4FC469,SOSJJWM12A6D4FB45C,SODJGTO12AB018AADA,SONMOVN12A8C13C0C9,9.0,102.0,110.0
54,SOGIYPY12A6D4F8B44,SOJHXQS12AB01863C0,SOGIYPY12A6D4F8B44,SORAKQE12A8C141D18,SOZZLBH12A8AE44A5C,SOMYZVY12A8AE483C4,SOLGIDV12A6D4F8A2D,SOWOHZA12A58A7C7FE,SOOPBJF12A8C13CF43,SOOJAQM12A8C1400F9,23.0,103.0,114.0
55,SOVFUNO12AF729EC9C,SOVFUNO12AF729EC9C,SOZPIPG12A8C1354BB,SOLZLCF12A6D4FC3B3,SOEYNMV12A8C1330E5,SOMKRGT12A8C132B92,SOANEFZ12A6D4F86D8,SOADLEU12AB017C851,SOUHWFW12A6D4F794B,SOKLGCF12A6D4F9165,17.0,106.0,102.0
56,SOLQJQS12AB018607A,SOLQJQS12AB018607A,SOJIYQS12A8C1339F1,SOTUHJP12AAF3B26D0,SOLIZKC12A67ADA232,SOEPHOU12A8C141DE1,SOXTSKV12A67ADA23D,SOMVHMU12AB0187870,SOBPMUP12A8C13CCEF,SOOHUZQ12A67ADF8A9,25.0,108.0,108.0
57,SOJQPPR12A6D4F869A,SOJQPPR12A6D4F869A,SOFROOV12A67020901,SOYCXGT12AF72A6DAF,SOZXWGC12A6D4FA3A5,SONKVYR12A6D4F9DB6,SOKYJOP12A6701FC21,SOPODQG12A6D4FA968,SOVEACE12AB01819B0,SORWDSS12A8C141EEB,27.0,102.0,103.0
58,SORZKKV12A58A7B9E0,SORZKKV12A58A7B9E0,SOTKVNF12A8C133D0D,SOAUPQU12AB0181559,SOCYEUC12A58A7D1B9,SOSDBDV12B0B8081E3,SOGDDKR12A6701E8FA,SOLSNWR12AC468D010,SOLGLZI12AB018AE8B,SONCQUD12A8C14148D,30.0,114.0,110.0
59,SOBJJJN12A8AE4674B,SOBJJJN12A8AE4674B,SOAJTHN12A67021D07,SODGPRV12AB0186F51,SOGTFTU12AAA8C8553,SOBNPQE12A6D4F7B36,SOCWWPA12A8C133A32,SOMTZGQ12A67FFB3C2,SOWTVUF12A6701E7A4,SOHLCSJ12A6D4F569E,17.0,104.0,104.0
60,SOYVYNW12AF729D48D,SOCOZST12A67020452,SOQAIKN12A6D4F97D6,SOYVYNW12AF729D48D,SORPZAL12A8C13F57D,SOZVVMJ12A58A7C548,SOZHGFL12A8C140A36,SOHTZGV12A6310D9EA,SOUYPIK12A6D4F9580,SOWKXMK12A8C144C45,19.0,103.0,110.0
61,SODXMQC12A8C133444,SODXMQC12A8C133444,SOPODXL12A8C137B6D,SOPFAVX12A8C1335A6,SOGDZSB12AB017CC29,SOWQAOZ12A6701D9DB,SOSJOIR12AB018937D,SOCKNAZ12A6D4FB016,SOEKQKJ12A6D4F9633,SORMUVW12AF729F216,34.0,104.0,109.0
62,SOHEWMU12A6D4F9071,SOHEWMU12A6D4F9071,SONBBIE12A8C140C39,SOUSLAH12AF72A18BD,SOPIJKQ12A67ADBAD7,SOEZLOS12A81C20BA1,SODMMJZ12AB0182DCD,SOYJGLB12A58A789DB,SOVEMJL12A8C13B645,SOIHRJH12A6D4F8ABF,35.0,104.0,113.0
63,SORVHGJ12AB01883C4,SOABGOB12A6701D1FA,SORVHGJ12AB01883C4,SOLGWAO12A6D4F91E9,SOPRNYR12A67AD75FB,SOXSPTO12AB0180EFB,SOGSPCT12A6701F7B6,SOMHFRG12A8C1367E3,SOIFYRU12AB01842C2,SOWZUEB12A8C12FF12,24.0,108.0,105.0
64,SOUEGBF12AB017EFD5,SOUEGBF12AB017EFD5,SOADOEV12A8C13FEE1,SOOWYPL12A6D4F6719,SOFJHUX12A6D4F79E0,SOEMWNK12A67AD8797,SOEZEMQ12A8C136E70,SORFHWM12A6701DD2D,SOOOCNF12A8C13C1CE,SOKVZHI12A58A7A13E,15.0,102.0,107.0
65,SOOATDK12A8C136E31,SOOATDK12A8C136E31,SOHFVJR12AF72A9805,SOSJTOL12A6D4FB4CD,SOIQKSC12AB0187775,SOVHVYD12A6D4FA244,SOZZMKY12A6D4F6F3C,SOSVMII12A6701F92D,SODMECE12A6701EABB,SOJBOHL12AB0184898,16.0,104.0,104.0
66,SOPRIUU12A8C133EF5,SOPRIUU12A8C133EF5,SOFKYDZ12AB017F425,SOIKHHI12A6D4F85C0,SOJJGOU12AB018A83F,SOEJOFI12AB0180105,SOPXJPQ12A58A7AAFF,SOBLXLK12A6D4F746E,SOQXDXM12A8C134E8E,SOJLQEL12A6310E2F1,48.0,114.0,97.0
67,SOFNAEW12A58A7C17C,SOXMFAJ12A6D4F8410,SOFNAEW12A58A7C17C,SOLDJVC12AB017DA8D,SOVTPSJ12A58A7B4C3,SODAPBU12A81C2185A,SORNKQU12A6D4FCDC0,SOOYETE12AF72A7ADB,SOIEXVZ12A8C13A7F8,SODITKA12A8C14360E,33.0,111.0,106.0
68,SOJYSRO12A67AE01A0,SOFBBZQ12A8C134EDB,SOOAVGC12AB01821EC,SOJYSRO12A67AE01A0,SOVADRM12AB0186586,SOMVBHP12A8C1390F0,SOFSGDO12A670202AB,SOKUFQT12A6D4F73A9,SOXOEUD12AB018CF4C,SOJFKOY12AB018AB17,17.0,109.0,106.0
69,SOXFOSA12A58A7CD73,SOXFOSA12A58A7CD73,SOJHFEM12A6D4FB4AB,SOURKWT12A81C217C1,SOXZTQP12A8C133398,SOIODYH12A67ADB029,SOBOFHA12A8C1360FA,SOPJVWK12A58A7D602,SOTOBBJ12A8C139807,SOSZIDW12A8BEEEEA2,22.0,106.0,111.0
70,SONSOXK12A6D4F7A46,SONSOXK12A6D4F7A46,SOTSCAU12AB0188EC9,SOBRGWG12AB017FB42,SOLQFQA12AB018B9D6,SOFFVCN12A67ADA4D6,SOMUASC12A67ADA515,SOYZYIY12A67ADFA93,SOMVDAO12A8C13E63F,SOCZRKP12A8C141A3B,32.0,127.0,102.0
71,SOCGLAK12A8AE489B1,SOCGLAK12A8AE489B1,SOLEHDC12A8AE45161,SOKUOFF12A8C142D56,SOXCBEF12A8C146AFE,SOAZWZQ12A58A7B302,SONXWJM12A67ADD878,SOSWGMM12AB01829D6,SORJPPT12A8C144492,SOQGVSY12A6D4FBB01,33.0,106.0,119.0
72,SOGSMFL12A8AE47CCC,SOPHQPE12AB0183798,SOPJJFS12A8C131AE6,SOGSMFL12A8AE47CCC,SONYYEV12A6701E109,SOXMTEY12AAF3B2E01,SOEGOAB12A8C13BAE4,SODCVVC12A6D4F6349,SOXQPLG12A6D4FA3FF,SODFTXC12AB01856B1,19.0,105.0,109.0
73,SOPKVFQ12A8C13939C,SOPKVFQ12A8C13939C,SOEDJNI12A58A80B2C,SONWHTZ12A58A7E3E4,SOWKYUB12A8C1440CB,SOLIECS12A6310F220,SOCBZXJ12A58A7ACB6,SOGRTXS12AB017CCFC,SOEIWVQ12AB018213F,SOXAIYR12A6701C6BB,60.0,121.0,102.0
74,SOZUVHK12A6D4F86F5,SOZUVHK12A6D4F86F5,SOQXSMP12A8C144E90,SORNNFD12A8C1442F1,SODBPWM12A6D4F77E4,SOQFGZQ12A6D4F7EF4,SOQKYPY12A58A76B2C,SOOKGVW12A6D4FA2BD,SOQNBGB12AB0189E98,SOBVNYU12B0B809366,20.0,115.0,102.0
75,SOGABXH12AB01814C5,SOGABXH12AB01814C5,SORBGAS12A6D4F89DC,SOHOJFZ12A8C1347B0,SOBIQWH12A8C13BCDE,SOHMWFJ12A8C1396F9,SOZSZTY12A8C13B693,SOJNOPV12A6D4F7628,SOJHUGI12A8C138A66,SODERSK12A8C136D67,59.0,107.0,97.0
76,SOBQTPC12AF72A24BC,SOBQTPC12AF72A24BC,SOESRBI12A8C1317FB,SOPHOQI12A8C13B17B,SOMPPAS12A8C13385B,SONVWWE12A6D4F8350,SOUWUXI12AF72A1ADB,SOAIWAB12A8C13710A,SOGPVQB12A6D4F9CA0,SOIYTOA12A6D4F9A23,41.0,110.0,127.0
77,SONDUKG12A58A7DA36,SONDUKG12A58A7DA36,SODPGZQ12A58A79D74,SOWGZCM12AF72A3DA7,SOXGRUW12A8C141751,SOCTJQC12AB01884FC,SOSJZID12A8C13E802,SOXVQZV12AAF3B2472,SOSYIDB12A8C1371F3,SOXPZKK12AB01837A6,45.0,104.0,111.0
78,SOUUQVH12A6D4F7DDE,SOUUQVH12A6D4F7DDE,SOJBKDO12A8C1332BC,SOFSVEX12AB018268E,SOTMYSG12AB01804C0,SOZZAZT12A8C138948,SOHZCXP12A58A78620,SOGPLBE12A58A80442,SOIORTD12A670209D7,SOCGBSR12A81C2143F,52.0,112.0,105.0
79,SORWULZ12A6D4F5B1E,SORWULZ12A6D4F5B1E,SODLRPF12AC909761A,SOOLPFK12A58A7BDE3,SOOSZWQ12A8C135EA8,SOFTCAE12A67ADAD1B,SOVZYPB12A8C143045,SOLFNUT12AB0189693,SOGQFQU12A6BD4F03D,SOGUBEE12A8AE45602,64.0,115.0,98.0
80,SOUSDAM12A6D4FB2BE,SOUSDAM12A6D4FB2BE,SOKOMQG12AB0188AB1,SORZHCA12AB01846E3,SOFNYFB12AB0183A73,SOWRJBM12A8C13E550,SOGEZPQ12A8C138550,SOAQCAL12A8C1417F2,SORSXOA12A6D4F4E3B,SOACERJ12A67AD865E,38.0,106.0,110.0
81,SOUELOC12AB0182DD1,SOUELOC12AB0182DD1,SOHCNXC12A58A76F84,SOQYLDR12A8C13514B,SOJXGAB12AB017F22F,SOGXLUQ12B0B808F5D,SOIWYPU12AF72A6078,SOFUAII12A6D4F9D1C,SOBTPSW12A8C142D1D,SOSMCPF12A6D4F74DB,32.0,105.0,99.0
